 * Tip: There are .env files present. Install python-dotenv to use them.
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.140:5000
Press CTRL+C to quit
 * Restarting with stat
 * Tip: There are .env files present. Install python-dotenv to use them.
 * Debugger is active!
 * Debugger PIN: 242-374-426
127.0.0.1 - - [11/Aug/2026 23:25:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:25:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:26:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:26:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:27:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:27:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:28:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:28:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:29:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:29:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:30:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:30:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:31:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:31:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:32:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:32:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:33:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:33:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:34:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:34:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:35:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:35:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:36:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:36:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:37:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:37:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:38:20] "GET /static/portraits/npc/d-8925/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:38:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:38:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:39:06] "POST /api/illustration/scene HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:39:06] "GET /static/illustrations/sd/background_developer_private_room.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:39:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:39:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:39:14] "GET /static/portraits/npc/d-8925/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:39:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:39:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:39:34] "GET /static/illustrations/sd/background_developer_private_room.webp?t=1786459174533 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:39:34] "GET /static/portraits/sd/portrait_volf.webp?t=1786459174533 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:39:34] "GET /static/illustrations/sd/object_round_table_1.webp?t=1786459174533 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:39:34] "GET /static/illustrations/sd/object_round_table_2.webp?t=1786459174533 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:39:35] "GET /static/illustrations/sd/object_long_table.webp?t=1786459174533 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:39:35] "GET /static/illustrations/sd/object_chair.webp?t=1786459174533 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:40:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:40:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:41:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:41:14] "GET /static/portraits/npc/d-8925/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:41:24] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:41:24] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:41:24] "GET /static/portraits/npc/d-8925/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:41:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:41:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:42:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:42:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:43:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:43:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:44:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:44:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:45:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:45:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:46:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:46:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:47:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:47:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:48:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:48:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:49:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:49:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:50:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:50:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:51:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:51:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:52:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:52:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:53:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:53:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:54:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:54:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:55:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:55:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:56:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:56:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:57:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:57:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:58:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:58:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:59:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:59:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:00:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:00:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:01:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:01:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:02:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:02:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:03:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:03:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:04:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:04:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:05:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:05:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:06:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:06:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:07:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:07:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:08:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:08:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:09:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:09:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:10:03] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:10:03] "GET /static/portraits/npc/d-8925/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:10:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:10:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:10:14] "GET /static/portraits/npc/d-8925/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:10:15] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:10:15] "GET /static/portraits/npc/d-8925/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:10:19] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:10:19] "GET /static/portraits/npc/d-8925/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:10:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:10:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:11:28] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:11:28] "GET /static/portraits/npc/d-8925/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:11:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:11:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2026 00:11:40] "POST /api/illustration/npc HTTP/1.1" 200 -
